Participant Number,Experimenter,Crisps,Popcorn,Nachos,Cashews
11,1,Devalued,Valued,Devalued,Valued
12,1,Valued,Devalued,Valued,Devalued
13,1,Valued,Devalued,Valued,Devalued
14,1,Devalued,Valued,Valued,Devalued
15,1,Devalued,Valued,Valued,Devalued
16,1,Devalued,Devalued,Valued,Valued
17,1,Devalued,Devalued,Valued,Valued
18,1,Valued,Devalued,Devalued,Valued
19,2,Valued,Devalued,Devalued,Valued
20,2,Devalued,Valued,Devalued,Valued
21,2,Devalued,Valued,Devalued,Valued
22,2,Devalued,Devalued,Valued,Valued
23,2,Devalued,Devalued,Valued,Valued
24,2,Valued,Valued,Devalued,Devalued
25,2,Valued,Valued,Devalued,Devalued
26,2,Valued,Devalued,Valued,Devalued
27,3,Valued,Devalued,Valued,Devalued
28,3,Valued,Devalued,Devalued,Valued
29,3,Valued,Devalued,Devalued,Valued
30,3,Valued,Valued,Devalued,Devalued
31,3,Valued,Valued,Devalued,Devalued
32,3,Devalued,Valued,Valued,Devalued
33,3,Devalued,Valued,Valued,Devalued
34,3,Devalued,Valued,Devalued,Valued
35,4,Devalued,Valued,Devalued,Valued
36,4,Valued,Devalued,Valued,Devalued
37,4,Valued,Devalued,Valued,Devalued
38,4,Devalued,Valued,Valued,Devalued
39,4,Devalued,Valued,Valued,Devalued
40,4,Devalued,Devalued,Valued,Valued
41,4,Devalued,Devalued,Valued,Valued
42,4,Valued,Devalued,Devalued,Valued
43,Extra,Valued,Devalued,Devalued,Valued
44,Extra,Devalued,Valued,Devalued,Valued
